angle_deg,lift_N,drag_N,lift_to_drag
0,0.09804706742143103,1.111818969511788,0.08818617968398632
4,15.52574875285367,1.319860176311093,11.763176911850568
8,28.41280341113973,2.250589777508879,12.624603423991887
12,41.14994379912043,3.654811557017895,11.259115047971527
16,45.79912790941348,8.37197215963084,5.470530364428849
